model,short,mate_hit10,h10_lo,h10_hi,mate_hit100,mate_mrr,mrr_lo,mrr_hi,lost_share,median_first_foreign_rank
google/embeddinggemma-300m,embeddinggemma,0.5954198473282443,0.5534351145038168,0.6374045801526718,0.7767175572519084,0.36095713253682743,0.32956636462037936,0.39373084857041524,0.07251908396946564,4.0
BAAI/bge-m3,bge-m3,0.5400763358778626,0.49804389312977104,0.5820610687022901,0.7175572519083969,0.33457675153341504,0.3025257180394751,0.3678072866439063,0.10305343511450382,4.0
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,0.5095419847328244,0.4675572519083969,0.5534351145038168,0.7290076335877863,0.31259023395972524,0.2805172143623036,0.34488385081872147,0.09351145038167939,6.0
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,0.48282442748091603,0.44083969465648853,0.5248091603053435,0.6870229007633588,0.29222148722698976,0.26124215018950053,0.3245511960307447,0.1183206106870229,7.0
ibm-granite/granite-embedding-278m-multilingual,granite-278m,0.4618320610687023,0.4198473282442748,0.5038167938931297,0.6679389312977099,0.2748832468108125,0.24412382821528603,0.30582427752438235,0.15458015267175573,8.0
sentence-transformers/LaBSE,LaBSE,0.3549618320610687,0.3148854961832061,0.3969465648854962,0.5629770992366412,0.22714231616742847,0.19614077804575636,0.25854190167529345,0.20419847328244276,20.0
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,0.2385496183206107,0.20229007633587787,0.2767175572519084,0.4389312977099237,0.1515756082038051,0.12606411671731893,0.17808222482848335,0.26908396946564883,44.0
intfloat/multilingual-e5-large-instruct,e5-large-instruct,0.12404580152671756,0.09732824427480916,0.15267175572519084,0.3148854961832061,0.060069425299138626,0.046318395033823845,0.0747797321368179,0.3244274809160305,122.0
Alibaba-NLP/gte-multilingual-base,gte-base,0.0,0.0,0.0,0.0019083969465648854,0.0001590830276879114,8.611843942887665e-05,0.00024720930172514365,0.9484732824427481,562.0
