model,short,orig,orig_lo,orig_hi,syn,syn_lo,syn_hi,gap,paired_diff,paired_p,paired_n
google/embeddinggemma-300m,embeddinggemma,0.4473684210526316,0.3157894736842105,0.5789473684210527,0.56875,0.4625,0.675,-0.1213815789473684,-0.04444444444444443,0.7301661743379914,15.0
BAAI/bge-m3,bge-m3,0.3684210526315789,0.24561403508771928,0.49122807017543857,0.46875,0.3625,0.575,-0.10032894736842107,-0.022222222222222216,0.7551230351541788,15.0
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,0.3684210526315789,0.24561403508771928,0.49122807017543857,0.50625,0.4,0.6125,-0.13782894736842105,-0.06666666666666667,0.5716076449533316,15.0
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,0.32456140350877194,0.21052631578947367,0.4473684210526316,0.3875,0.2875,0.49375,-0.06293859649122807,-0.1111111111111111,0.12454734851840067,15.0
ibm-granite/granite-embedding-278m-multilingual,granite-278m,0.2894736842105263,0.17543859649122806,0.40350877192982454,0.31875,0.225,0.41875,-0.02927631578947365,-0.02222222222222223,0.7980737221573263,15.0
sentence-transformers/LaBSE,LaBSE,0.19298245614035087,0.10526315789473684,0.2982456140350877,0.34375,0.24984375000000014,0.44375,-0.15076754385964913,-0.1,0.18746203261647498,15.0
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,0.14035087719298245,0.06140350877192982,0.23684210526315788,0.1875,0.10625,0.275,-0.04714912280701755,1.8503717077085942e-18,1.0,15.0
intfloat/multilingual-e5-large-instruct,e5-large-instruct,0.07894736842105263,0.017543859649122806,0.14912280701754385,0.05,0.0125,0.1,0.028947368421052624,0.01111111111111111,0.31731050786291415,15.0
Alibaba-NLP/gte-multilingual-base,gte-base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0
