model,patent,orig,syn,diff
granite-278m,WO-2025204469-A1,0.0,0.5,-0.5
granite-278m,WO-2025211147-A1,0.5,0.0,0.5
granite-278m,WO-2025216711-A1,1.0,1.0,0.0
LaBSE,EP-4626962-A1,0.25,0.75,-0.5
LaBSE,EP-4630253-A1,0.0,0.0,0.0
LaBSE,EP-4630574-A1,0.0,0.0,0.0
LaBSE,EP-4633415-A1,0.0,0.0,0.0
LaBSE,EP-4633662-A1,0.0,0.0,0.0
LaBSE,EP-4633950-A1,0.0,0.0,0.0
LaBSE,EP-4634111-A1,0.0,0.0,0.0
LaBSE,EP-4634136-A1,0.0,0.0,0.0
LaBSE,EP-4634139-A1,0.0,1.0,-1.0
LaBSE,EP-4634142-A1,0.0,0.5,-0.5
LaBSE,EP-4634248-A1,0.0,0.0,0.0
LaBSE,EP-4634596-A1,0.5,0.3333333333333333,0.16666666666666669
LaBSE,EP-4634597-A1,0.0,0.5,-0.5
LaBSE,EP-4634629-A1,0.0,0.0,0.0
LaBSE,EP-4634663-A1,0.5,1.0,-0.5
LaBSE,MX-2025002688-A,0.0,0.0,0.0
LaBSE,MX-2025005046-A,0.0,0.6666666666666666,-0.6666666666666666
LaBSE,MX-2025005421-A,0.0,0.0,0.0
LaBSE,MX-2025005709-A,0.0,0.0,0.0
LaBSE,MX-2025007733-A,0.0,0.0,0.0
LaBSE,MX-2025008227-A,0.5,1.0,-0.5
LaBSE,MX-2025008260-A,0.5,0.0,0.5
LaBSE,MX-2025009739-A,0.0,0.0,0.0
LaBSE,MX-2025010085-A,0.0,0.3333333333333333,-0.3333333333333333
LaBSE,WO-2021255541-A1,0.0,0.25,-0.25
LaBSE,WO-2024245507-A9,0.3333333333333333,1.0,-0.6666666666666667
LaBSE,WO-2025153617-A3,0.0,0.0,0.0
LaBSE,WO-2025186592-A8,0.5,1.0,-0.5
LaBSE,WO-2025187712-A8,0.5,0.0,0.5
LaBSE,WO-2025192625-A1,0.16666666666666666,0.0,0.16666666666666666
LaBSE,WO-2025201936-A1,0.0,0.0,0.0
LaBSE,WO-2025204469-A1,0.16666666666666666,0.25,-0.08333333333333334
LaBSE,WO-2025211147-A1,0.0,0.3333333333333333,-0.3333333333333333
LaBSE,WO-2025216711-A1,1.0,0.5,0.5
SapBERT,EP-4626962-A1,0.0,0.5,-0.5
SapBERT,EP-4630253-A1,0.0,0.0,0.0
SapBERT,EP-4630574-A1,0.0,0.0,0.0
SapBERT,EP-4633415-A1,0.0,0.0,0.0
SapBERT,EP-4633662-A1,0.0,0.0,0.0
SapBERT,EP-4633950-A1,0.0,0.0,0.0
SapBERT,EP-4634111-A1,0.0,0.0,0.0
SapBERT,EP-4634136-A1,0.0,0.0,0.0
SapBERT,EP-4634139-A1,1.0,1.0,0.0
SapBERT,EP-4634142-A1,0.0,0.0,0.0
SapBERT,EP-4634248-A1,0.0,0.0,0.0
SapBERT,EP-4634596-A1,0.16666666666666666,0.3333333333333333,-0.16666666666666666
