short,model,rank_clir_mrs,rank_borda,rank_equal_weight,rank_winner_take_all,mrs,borda_sum,equal_weight_mean,axes_won,rank_min,rank_max
embeddinggemma,google/embeddinggemma-300m,1,3,3,1,0.7483,20,0.7483,3,1,3
bge-m3,BAAI/bge-m3,2,1,1,4,0.7254,18,0.7918,0,1,4
nomic-v2-moe,nomic-ai/nomic-embed-text-v2-moe,3,4,4,4,0.6586,22,0.7381,0,3,4
granite-278m,ibm-granite/granite-embedding-278m-multilingual,4,2,2,2,0.5902,19,0.786,2,2,4
qwen3-0.6B,Qwen/Qwen3-Embedding-0.6B,5,5,5,4,0.5535,29,0.5938,0,4,5
LaBSE,sentence-transformers/LaBSE,6,8,7,4,0.2724,38,0.381,0,4,8
SapBERT,cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,7,6,6,4,0.225,35,0.5086,0,4,7
e5-large-instruct,intfloat/multilingual-e5-large-instruct,8,6,8,3,0.0,35,0.3293,1,3,8
