model,depth,n,mean_cos,mrr,recall_at_1,recall_at_10,recall_at_100,median_rank
sentence-transformers/LaBSE,0,134,0.5163757300643779,0.3023720484614206,0.2462686567164179,0.373134328358209,0.5074626865671642,66.5
sentence-transformers/LaBSE,1,134,0.5151256645348534,0.31529367757094984,0.26865671641791045,0.373134328358209,0.5223880597014925,77.0
sentence-transformers/LaBSE,2,134,0.5123108656548742,0.2947838576022103,0.23880597014925373,0.3805970149253731,0.4925373134328358,101.0
sentence-transformers/LaBSE,3,134,0.5126569340033318,0.30456931600723336,0.2537313432835821,0.39552238805970147,0.5,95.0
sentence-transformers/LaBSE,4,134,0.5090620860235014,0.26832210301012377,0.208955223880597,0.3656716417910448,0.4925373134328358,101.5
sentence-transformers/LaBSE,5,134,0.5084019321114269,0.27304872775409006,0.22388059701492538,0.3656716417910448,0.48507462686567165,179.5
