model,short,mean_overrep,mean_foreign_share,mean_entropy,clir_at_10
google/embeddinggemma-300m,embeddinggemma,3.9479114155117805,0.5659259259259259,1.277391977589059,0.45925925925925926
BAAI/bge-m3,bge-m3,3.5055095004921903,0.6444444444444445,1.1483056212384801,0.40370370370370373
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,2.8979185549202358,0.62,1.2301391476566732,0.391358024691358
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,5.960010712935993,0.5192592592592592,1.1575741302652285,0.3592592592592593
ibm-granite/granite-embedding-278m-multilingual,granite-278m,4.308573442390929,0.7007407407407408,1.519767968948434,0.2901234567901234
sentence-transformers/LaBSE,LaBSE,2.0073729717001205,0.7377777777777778,1.1604611667096845,0.2222222222222222
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,2.9610925812612066,0.6281481481481482,1.233750280081987,0.16296296296296298
intfloat/multilingual-e5-large-instruct,e5-large-instruct,15.119147371688632,0.018518518518518514,0.07995827590337204,0.06666666666666667
