model,short,query_id,qlang,same_share,foreign_share,base_same,overrep,entropy,clir_at_10,frac_en,frac_de,frac_es,frac_fr,frac_zh
google/embeddinggemma-300m,embeddinggemma,EP-4633656-A1_fr_q_fr,fr,1.0,0.0,0.37016017152226005,2.701533219761499,-0.0,0.0,0.0,0.0,0.0,1.0,0.0
google/embeddinggemma-300m,embeddinggemma,WO-2025208167-A1_de_q_de,de,0.1,0.9,0.06730567116492202,1.4857589006870706,1.6854752972273344,0.0,0.3,0.1,0.0,0.5,0.1
google/embeddinggemma-300m,embeddinggemma,EP-4634396-A1_fr_q_fr,fr,0.5,0.5,0.37016017152226005,1.3507666098807496,1.4854752972273344,1.0,0.3,0.2,0.0,0.5,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633893-A1_fr_q_fr,fr,1.0,0.0,0.37016017152226005,2.701533219761499,-0.0,0.0,0.0,0.0,0.0,1.0,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633462-A1_en_q_en,en,0.6,0.4,0.4551645856980704,1.3182044887780549,1.295461844238322,1.0,0.6,0.0,0.0,0.3,0.1
google/embeddinggemma-300m,embeddinggemma,EP-4633386-A1_en_q_en,en,0.5,0.5,0.4551645856980704,1.098503740648379,1.7609640474436812,0.0,0.5,0.2,0.2,0.1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633970-A1_fr_q_fr,fr,1.0,0.0,0.37016017152226005,2.701533219761499,-0.0,0.0,0.0,0.0,0.0,1.0,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633415-A1_en_q_en,en,0.8,0.19999999999999996,0.4551645856980704,1.7576059850374066,0.9219280948873623,0.0,0.8,0.0,0.1,0.1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633415-A1_en_q_de,de,0.2,0.8,0.06730567116492202,2.9715178013741412,1.4854752972273344,1.0,0.3,0.2,0.0,0.5,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633415-A1_fr_q_fr,fr,0.6,0.4,0.37016017152226005,1.6209199318568994,1.295461844238322,0.0,0.1,0.3,0.0,0.6,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633415-A1_en_q_es,es,0.3,0.7,0.09055366376592257,3.312952646239554,1.6854752972273344,1.0,0.5,0.1,0.3,0.1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633950-A1_en_q_en,en,1.0,0.0,0.4551645856980704,2.197007481296758,-0.0,0.0,1.0,0.0,0.0,0.0,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633950-A1_en_q_de,de,0.0,1.0,0.06730567116492202,0.0,1.360964047443681,0.0,0.5,0.0,0.0,0.4,0.1
google/embeddinggemma-300m,embeddinggemma,EP-4633950-A1_fr_q_fr,fr,0.9,0.09999999999999998,0.37016017152226005,2.4313798977853494,0.4689955935892812,0.0,0.1,0.0,0.0,0.9,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633950-A1_en_q_es,es,0.3,0.7,0.09055366376592257,3.312952646239554,1.6854752972273344,0.0,0.5,0.0,0.3,0.1,0.1
google/embeddinggemma-300m,embeddinggemma,EP-4634629-A1_en_q_en,en,0.7,0.30000000000000004,0.4551645856980704,1.5379052369077306,1.1567796494470395,0.0,0.7,0.1,0.0,0.2,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634629-A1_de_q_de,de,0.2,0.8,0.06730567116492202,2.9715178013741412,1.5219280948873621,0.0,0.4,0.2,0.0,0.4,0.0
