model,short,K_star,RRC_at_Kstar,L_inf,RRC_at_100,RRC_at_1000,lost_at_1000_ref,clir_at_10,degenerate_clir
google/embeddinggemma-300m,embeddinggemma,5,0.5324,0.0725,0.7767,0.9275,0.0725,0.5413,False
BAAI/bge-m3,bge-m3,3,0.4256,0.1031,0.7176,0.8969,0.1031,0.4644,False
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,5,0.4447,0.0935,0.729,0.9065,0.0935,0.4507,False
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,2,0.3302,0.1183,0.687,0.8817,0.1183,0.4095,False
ibm-granite/granite-embedding-278m-multilingual,granite-278m,3,0.3454,0.1546,0.6679,0.8454,0.1546,0.3899,False
sentence-transformers/LaBSE,LaBSE,75,0.5229,0.2042,0.563,0.7958,0.2042,0.2708,False
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,150,0.4714,0.2691,0.4389,0.7309,0.2691,0.1972,False
intfloat/multilingual-e5-large-instruct,e5-large-instruct,30,0.1889,0.3244,0.3149,0.6756,0.3244,0.0945,True
Alibaba-NLP/gte-multilingual-base,gte-base,100,0.0019,0.9485,0.0019,0.0515,0.9485,0.0,True
