model,short,degenerate_clir,clir_at_10,K_star,RRC_at_100,deep_100_to_1000,L_inf,identity_sum_100,ARI_at_100,RRC_at_Kstar,deep_Kstar_to_1000,identity_sum_Kstar,ARI_at_Kstar
google/embeddinggemma-300m,embeddinggemma,False,0.4526,2,0.7153,0.1971,0.0876,1.0,0.3077,0.3723,0.5401,1.0,0.1395
BAAI/bge-m3,bge-m3,False,0.3978,5,0.6496,0.2263,0.1241,1.0,0.3542,0.4234,0.4526,1.0,0.2152
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,False,0.3856,5,0.6569,0.2482,0.0949,1.0,0.2766,0.4015,0.5036,1.0,0.1585
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,False,0.354,20,0.6715,0.2117,0.1168,1.0,0.3556,0.4453,0.438,1.0,0.2105
ibm-granite/granite-embedding-278m-multilingual,granite-278m,False,0.2859,3,0.6131,0.1898,0.1971,1.0,0.5094,0.292,0.5109,1.0,0.2784
sentence-transformers/LaBSE,LaBSE,False,0.219,20,0.5037,0.3139,0.1825,1.0,0.3676,0.3285,0.4891,1.0,0.2717
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,False,0.1606,5,0.4307,0.2993,0.2701,1.0,0.4744,0.146,0.5839,1.0,0.3162
intfloat/multilingual-e5-large-instruct,e5-large-instruct,True,0.0657,75,0.2336,0.3723,0.3942,1.0,0.5143,0.2044,0.4015,1.0,0.4954
