model,short,n_cross,RRC_at_100,RRC_at_1000,lost_at_1000,recoverable_by_rerank_100,found_101_1000
google/embeddinggemma-300m,embeddinggemma,524,0.7767,0.9275,0.0725,0.7767,0.1508
BAAI/bge-m3,bge-m3,524,0.7176,0.8969,0.1031,0.7176,0.1794
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,524,0.729,0.9065,0.0935,0.729,0.1775
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,524,0.687,0.8817,0.1183,0.687,0.1947
ibm-granite/granite-embedding-278m-multilingual,granite-278m,524,0.6679,0.8454,0.1546,0.6679,0.1775
sentence-transformers/LaBSE,LaBSE,524,0.563,0.7958,0.2042,0.563,0.2328
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,524,0.4389,0.7309,0.2691,0.4389,0.292
intfloat/multilingual-e5-large-instruct,e5-large-instruct,524,0.3149,0.6756,0.3244,0.3149,0.3607
Alibaba-NLP/gte-multilingual-base,gte-base,524,0.0019,0.0515,0.9485,0.0019,0.0496
