model,short,recall_at_10,recall_lo,recall_hi,clir_at_10,clir_lo,clir_hi,molir_at_10,molir_lo,molir_hi,home_adv,home_adv_lo,home_adv_hi,clir_at_100,recall_at_100
google/embeddinggemma-300m,embeddinggemma,0.4987834549878346,0.4245742092457421,0.5742092457420924,0.45255474452554745,0.3746958637469586,0.5291970802919708,0.631578947368421,0.5087719298245614,0.7543859649122807,0.2543859649122807,0.14912280701754385,0.35964912280701755,0.635036496350365,0.6678832116788321
BAAI/bge-m3,bge-m3,0.43795620437956206,0.3661800486618005,0.5109489051094891,0.3978102189781022,0.32235401459854013,0.47201946472019457,0.5614035087719298,0.43859649122807015,0.6842105263157895,0.23684210526315788,0.14035087719298245,0.3508771929824561,0.5474452554744526,0.5973236009732361
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,0.42700729927007297,0.35523114355231145,0.5,0.38564476885644766,0.3126520681265207,0.4610705596107056,0.543859649122807,0.42105263157894735,0.6666666666666666,0.23684210526315788,0.14035087719298245,0.34210526315789475,0.5717761557177615,0.6301703163017033
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,0.41605839416058393,0.3467153284671533,0.4854014598540146,0.354014598540146,0.2822384428223844,0.42822384428223836,0.631578947368421,0.5087719298245614,0.7543859649122807,0.34210526315789475,0.21929824561403508,0.47368421052631576,0.572992700729927,0.6180048661800487
ibm-granite/granite-embedding-278m-multilingual,granite-278m,0.32116788321167883,0.25304136253041365,0.38929440389294406,0.28588807785888076,0.21776155717761558,0.35644768856447684,0.43859649122807015,0.3157894736842105,0.5614035087719298,0.20175438596491227,0.10526315789473684,0.2982456140350877,0.5316301703163017,0.5401459854014599
sentence-transformers/LaBSE,LaBSE,0.2603406326034063,0.20072992700729927,0.32116788321167883,0.21897810218978103,0.1581508515815085,0.28102189781021897,0.38596491228070173,0.2631578947368421,0.5087719298245614,0.22807017543859648,0.11403508771929824,0.3508771929824561,0.3661800486618005,0.4148418491484185
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,0.194647201946472,0.14233576642335766,0.2518552311435519,0.16058394160583941,0.1070559610705596,0.21776155717761553,0.2982456140350877,0.19298245614035087,0.42105263157894735,0.18421052631578946,0.06140350877192982,0.30701754385964913,0.35036496350364965,0.38686131386861317
intfloat/multilingual-e5-large-instruct,e5-large-instruct,0.16180048661800484,0.11678832116788321,0.20924574209245742,0.06569343065693431,0.029197080291970802,0.10583941605839416,0.5964912280701754,0.47368421052631576,0.7192982456140351,0.5175438596491229,0.38596491228070173,0.6491228070175439,0.17883211678832117,0.29075425790754256
