model,short,accuracy,clir,separability,consistency,mt_robust,lang_parity,capability,robustness,MRS
google/embeddinggemma-300m,embeddinggemma,1.0,1.0,1.0,0.7957964243813881,0.19490909090909048,0.29508196721311436,1.0,0.4285958275011976,0.7142979137505988
BAAI/bge-m3,bge-m3,0.8738738738738739,0.8692493946731235,0.9248442231413304,0.9229308380344093,0.3345454545454546,0.4922854387656701,0.8893224972294426,0.5832539104485114,0.7040116606941751
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,0.8603603603603606,0.8619854721549637,0.9128753436598188,0.8991080287984522,0.08581818181818193,0.0,0.8784070587250477,0.32830873687221135,0.5833978853173512
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,0.8130630630630632,0.757869249394673,0.9071497360955643,0.9200981260518036,0.5825454545454548,0.35053037608486004,0.8260273495177669,0.6177246522273728,0.6681424033644641
ibm-granite/granite-embedding-278m-multilingual,granite-278m,0.6576576576576579,0.6537530266343825,0.9119958275404203,1.0,0.805818181818182,0.639344262295082,0.7411355039441535,0.8150541480377548,0.6726005353459439
sentence-transformers/LaBSE,LaBSE,0.5067567567567568,0.47457627118644063,0.7894638731802445,0.7765199932674868,0.0,0.2891207153502232,0.5902656337078139,0.35521356953923666,0.39996799821675305
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,0.38513513513513525,0.35593220338983045,0.7272088673381383,0.7159686397528113,0.6872727272727271,0.45901639344262274,0.489425401954368,0.6207525868227204,0.39661874313714585
intfloat/multilingual-e5-large-instruct,e5-large-instruct,0.32207207207207217,0.15254237288135594,0.5426656270220136,0.0,0.808,0.7159638818269484,0.33909335732514717,0.5079879606089829,0.25567435018440093
Alibaba-NLP/gte-multilingual-base,gte-base,0.0,0.0,0.0,0.013961640583301498,1.0,1.0,0.0,0.6713205468611004,0.0
