model,short,accuracy,clir,separability,consistency,mt_robust,lang_parity,capability,robustness,MRS,rank
google/embeddinggemma-300m,embeddinggemma,0.4987834549878346,0.45255474452554745,0.9129348785713732,0.1389821906614148,0.8646929824561405,0.771604938271605,1.0,0.49656859779961177,0.7482842988998059,1
BAAI/bge-m3,bge-m3,0.43795620437956206,0.3978102189781022,0.8700526379837841,0.1686446488808232,0.912061403508772,0.829520697167756,0.8250605389783435,0.7584941027373643,0.7254320460973641,2
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,0.41605839416058393,0.354014598540146,0.8751477598291313,0.1703746037315718,0.9332236842105264,0.7565359477124183,0.7736961819394703,0.7025917353290266,0.6586443625128825,3
ibm-granite/granite-embedding-278m-multilingual,granite-278m,0.32116788321167883,0.28588807785888076,0.8604742411727745,0.1746757728860909,0.9618421052631579,0.8827160493827161,0.5980012693483425,0.9739540038791911,0.5902134999774997,4
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,0.42700729927007297,0.38564476885644766,0.8642696916410337,0.1667536965497766,0.8570175438596492,0.6813725490196079,0.7946315795131721,0.3930627668107132,0.5534858333758934,5
sentence-transformers/LaBSE,LaBSE,0.2603406326034063,0.21897810218978103,0.8095770158194907,0.1457136458963009,0.8266447368421053,0.7365319865319866,0.3999445043962407,0.3621095649613411,0.2723841174459213,6
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,0.194647201946472,0.16058394160583941,0.7910042358671336,0.1294960786704966,0.9452850877192983,0.8271604938271605,0.25536926020612993,0.7619111630850598,0.2249689751329768,7
intfloat/multilingual-e5-large-instruct,e5-large-instruct,0.16180048661800484,0.06569343065693431,0.7014876727242451,0.0004378799572482,0.9585526315789474,0.8997821350762527,0.0,0.6585563665855637,0.0,8
