from,to,recall_xy,recall_yx,asymmetry_xy_minus_yx
en,es,0.425,0.35072815533980584,0.07427184466019415
en,fr,0.3703125,0.3427835051546392,0.02752899484536081
en,zh,0.3194444444444444,0.37092391304347827,-0.05147946859903385
de,en,0.3470982142857143,0.1590909090909091,0.1880073051948052
de,es,0.2760416666666667,0.375,-0.09895833333333331
de,fr,0.37222222222222223,0.21153846153846154,0.1606837606837607
de,zh,0.28205128205128205,0.4,-0.11794871794871797
es,fr,0.3525641025641026,0.3881578947368421,-0.0355937921727395
es,zh,0.23387096774193547,0.34375,-0.10987903225806453
fr,zh,0.1953125,0.325,-0.1296875
