short,qlang,dlang,recall_at_10,n_pairs
gte-base,fr,fr,0.037037037037037035,27
gte-base,fr,zh,0.0,8
gte-base,zh,de,0.0,4
gte-base,zh,en,0.0,19
gte-base,zh,fr,0.0,22
gte-base,zh,zh,0.0,2
nomic-v2-moe,de,de,0.7142857142857143,7
nomic-v2-moe,de,en,0.5238095238095238,21
nomic-v2-moe,de,fr,0.4074074074074074,27
nomic-v2-moe,de,zh,0.375,8
nomic-v2-moe,en,de,0.14285714285714285,7
nomic-v2-moe,en,en,0.7142857142857143,21
nomic-v2-moe,en,fr,0.25925925925925924,27
nomic-v2-moe,en,zh,0.125,8
nomic-v2-moe,es,de,0.5,12
nomic-v2-moe,es,en,0.48148148148148145,27
nomic-v2-moe,es,fr,0.5294117647058824,34
nomic-v2-moe,es,zh,0.15384615384615385,13
nomic-v2-moe,fr,de,0.2222222222222222,9
nomic-v2-moe,fr,en,0.47368421052631576,19
nomic-v2-moe,fr,fr,0.5925925925925926,27
nomic-v2-moe,fr,zh,0.125,8
nomic-v2-moe,zh,de,0.0,4
nomic-v2-moe,zh,en,0.42105263157894735,19
nomic-v2-moe,zh,fr,0.2727272727272727,22
nomic-v2-moe,zh,zh,1.0,2
qwen3-0.6B,de,de,0.7142857142857143,7
qwen3-0.6B,de,en,0.38095238095238093,21
qwen3-0.6B,de,fr,0.5925925925925926,27
qwen3-0.6B,de,zh,0.75,8
qwen3-0.6B,en,de,0.14285714285714285,7
qwen3-0.6B,en,en,0.5714285714285714,21
qwen3-0.6B,en,fr,0.4074074074074074,27
qwen3-0.6B,en,zh,0.5,8
qwen3-0.6B,es,de,0.6666666666666666,12
qwen3-0.6B,es,en,0.4444444444444444,27
qwen3-0.6B,es,fr,0.5588235294117647,34
qwen3-0.6B,es,zh,0.38461538461538464,13
qwen3-0.6B,fr,de,0.1111111111111111,9
qwen3-0.6B,fr,en,0.21052631578947367,19
qwen3-0.6B,fr,fr,0.5185185185185185,27
qwen3-0.6B,fr,zh,0.125,8
qwen3-0.6B,zh,de,0.25,4
qwen3-0.6B,zh,en,0.42105263157894735,19
qwen3-0.6B,zh,fr,0.4090909090909091,22
qwen3-0.6B,zh,zh,0.5,2
