model,query_language,depth,n,mean_cos,mrr,recall_at_10,recall_at_100
nomic-ai/nomic-embed-text-v2-moe,de,0,26,0.5196487857745244,0.6087342270617057,0.6538461538461539,0.7692307692307693
nomic-ai/nomic-embed-text-v2-moe,de,1,26,0.5207503552620227,0.6300976591192744,0.6538461538461539,0.7692307692307693
nomic-ai/nomic-embed-text-v2-moe,de,2,26,0.5155515716626093,0.5674057099973315,0.6153846153846154,0.7692307692307693
nomic-ai/nomic-embed-text-v2-moe,de,3,26,0.5125950941672692,0.5884846806343396,0.6153846153846154,0.7692307692307693
nomic-ai/nomic-embed-text-v2-moe,de,4,26,0.511022089765622,0.5673667932947659,0.5769230769230769,0.7307692307692307
nomic-ai/nomic-embed-text-v2-moe,de,5,26,0.5115146946448547,0.548599788262201,0.5769230769230769,0.7307692307692307
nomic-ai/nomic-embed-text-v2-moe,en,0,27,0.5639152648272338,0.6726880780516397,0.7037037037037037,0.8148148148148148
nomic-ai/nomic-embed-text-v2-moe,en,1,27,0.5641726785235934,0.6908873612630233,0.7037037037037037,0.8148148148148148
nomic-ai/nomic-embed-text-v2-moe,en,2,27,0.5590202488281109,0.6593462665782265,0.7407407407407407,0.8148148148148148
nomic-ai/nomic-embed-text-v2-moe,en,3,27,0.5544812226736987,0.6450205673410272,0.7407407407407407,0.8148148148148148
nomic-ai/nomic-embed-text-v2-moe,en,4,27,0.5514395446689041,0.6594311265999323,0.7037037037037037,0.8148148148148148
nomic-ai/nomic-embed-text-v2-moe,en,5,27,0.5497281805232719,0.621599053572253,0.7037037037037037,0.8148148148148148
nomic-ai/nomic-embed-text-v2-moe,es,0,27,0.5258599094770573,0.5372724802050445,0.7407407407407407,0.7777777777777778
nomic-ai/nomic-embed-text-v2-moe,es,1,27,0.5269753099591644,0.5789298158968575,0.7407407407407407,0.7777777777777778
nomic-ai/nomic-embed-text-v2-moe,es,2,27,0.5233110940014875,0.547936880048473,0.7037037037037037,0.7777777777777778
nomic-ai/nomic-embed-text-v2-moe,es,3,27,0.5243784972914943,0.545270475876158,0.7037037037037037,0.7777777777777778
nomic-ai/nomic-embed-text-v2-moe,es,4,27,0.5235302757333826,0.5389863456580938,0.6666666666666666,0.7777777777777778
nomic-ai/nomic-embed-text-v2-moe,es,5,27,0.5237337047303164,0.5330343206959347,0.6666666666666666,0.7777777777777778
nomic-ai/nomic-embed-text-v2-moe,fr,0,27,0.5089909147333216,0.4559685355405907,0.6296296296296297,0.7407407407407407
nomic-ai/nomic-embed-text-v2-moe,fr,1,27,0.509944165194476,0.49660149156130146,0.6666666666666666,0.7407407407407407
nomic-ai/nomic-embed-text-v2-moe,fr,2,27,0.506497487977699,0.4680748573825011,0.6296296296296297,0.7407407407407407
nomic-ai/nomic-embed-text-v2-moe,fr,3,27,0.5049317285970405,0.4742004739118027,0.6296296296296297,0.7407407407407407
nomic-ai/nomic-embed-text-v2-moe,fr,4,27,0.5052443212933011,0.46692722938447834,0.5925925925925926,0.7407407407407407
nomic-ai/nomic-embed-text-v2-moe,fr,5,27,0.5047493278980255,0.48356983785570967,0.5925925925925926,0.7407407407407407
nomic-ai/nomic-embed-text-v2-moe,zh,0,27,0.4273229484204893,0.32905602153758085,0.4074074074074074,0.5185185185185185
nomic-ai/nomic-embed-text-v2-moe,zh,1,27,0.4275744888517592,0.3258709502177095,0.4074074074074074,0.5185185185185185
nomic-ai/nomic-embed-text-v2-moe,zh,2,27,0.4236206031507916,0.32205033824836315,0.37037037037037035,0.48148148148148145
nomic-ai/nomic-embed-text-v2-moe,zh,3,27,0.4274901642843529,0.340055950641369,0.4074074074074074,0.48148148148148145
nomic-ai/nomic-embed-text-v2-moe,zh,4,27,0.4273151849155073,0.3282328904275755,0.4074074074074074,0.48148148148148145
nomic-ai/nomic-embed-text-v2-moe,zh,5,27,0.4282155588821129,0.3305790986852629,0.4074074074074074,0.48148148148148145
