model,short,auc_all,auc_cross,ac_lo,ac_hi,auc_same,sep_home_adv,clir_at_10
google/embeddinggemma-300m,embeddinggemma,0.9171110667615796,0.912934878571373,0.8837481055402693,0.938906809107888,0.9508388429031042,0.037903964331731155,0.45255474452554745
BAAI/bge-m3,bge-m3,0.8847678787115919,0.870052637983784,0.8290629274113316,0.9070853641671551,0.9545578358203609,0.08450519783657695,0.3978102189781022
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,0.8800500740392518,0.8642696916410338,0.8248447745482433,0.9011392737011041,0.9447582409756758,0.080488549334642,0.38564476885644766
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,0.8863562681928684,0.8751477598291313,0.8363765588685276,0.910088286259209,0.9526701206745096,0.07752236084537834,0.354014598540146
ibm-granite/granite-embedding-278m-multilingual,granite-278m,0.8488069182106543,0.8604742411727747,0.816737260559997,0.9003743528388412,0.8939005848661672,0.03342634369339248,0.28588807785888076
sentence-transformers/LaBSE,LaBSE,0.817694133813067,0.8095770158194907,0.7654560672426222,0.8521031481342615,0.8869124013263514,0.0773353855068607,0.21897810218978103
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,0.8023418891498519,0.7910042358671338,0.7420592850678144,0.8378647014656407,0.8644738344144847,0.07346959854735091,0.16058394160583941
intfloat/multilingual-e5-large-instruct,e5-large-instruct,0.7873045413534746,0.7014876727242451,0.6466608283797759,0.7536719297526939,0.9646942552290285,0.26320658250478346,0.06569343065693431
