model,short,query_id,qlang,origin,auc_all,auc_same,auc_cross,margin_cross,norm_score_cross
google/embeddinggemma-300m,embeddinggemma,EP-4633970-A1_fr_q_fr,fr,original,0.9919839679358716,0.9969939879759518,0.9869739478957916,-0.3888791212151325,0.48863044051364385
google/embeddinggemma-300m,embeddinggemma,EP-4633415-A1_en_q_en,en,original,0.9954909819639279,1.0,0.9909819639278558,-0.09938486663037543,0.6315068951184897
google/embeddinggemma-300m,embeddinggemma,EP-4633415-A1_en_q_de,de,synthetic,1.0,,1.0,0.11784011393894368,0.8806924836421246
google/embeddinggemma-300m,embeddinggemma,EP-4633415-A1_fr_q_fr,fr,original,0.8782565130260522,0.8987975951903807,0.8577154308617235,-0.6084700986900639,0.18890444334105802
google/embeddinggemma-300m,embeddinggemma,EP-4633415-A1_en_q_es,es,synthetic,1.0,,1.0,0.38663705348880256,0.8003305014376065
google/embeddinggemma-300m,embeddinggemma,EP-4633950-A1_en_q_en,en,original,0.9819639278557114,0.9779559118236473,0.9859719438877755,-0.2541227745431293,0.46147169730704307
google/embeddinggemma-300m,embeddinggemma,EP-4633950-A1_en_q_de,de,synthetic,0.6332665330661322,,0.6332665330661322,-0.6971005234749131,0.057524800553952316
google/embeddinggemma-300m,embeddinggemma,EP-4633950-A1_fr_q_fr,fr,original,0.6402805611222445,0.9889779559118236,0.29158316633266534,-0.9248689672522957,-0.11369982196772267
google/embeddinggemma-300m,embeddinggemma,EP-4633950-A1_en_q_es,es,synthetic,0.6663326653306614,,0.6663326653306614,-0.6861256339260293,0.06148798945176592
google/embeddinggemma-300m,embeddinggemma,EP-4634629-A1_en_q_en,en,original,0.6315613507188231,0.9307923771313942,0.4819458375125376,-0.8588511373584318,-0.05226640775931026
google/embeddinggemma-300m,embeddinggemma,EP-4634629-A1_de_q_de,de,original,0.6278836509528586,0.8625877632898696,0.5105315947843531,-0.7728773024153508,-0.043314156676824415
google/embeddinggemma-300m,embeddinggemma,EP-4634629-A1_fr_q_fr,fr,original,0.7680360721442886,0.9559118236472945,0.5801603206412825,-0.8494293602552587,-0.01355463830456529
google/embeddinggemma-300m,embeddinggemma,EP-4634629-A1_en_q_es,es,synthetic,0.6987629555332664,,0.6987629555332664,-0.7022804054054054,0.06005868346405581
google/embeddinggemma-300m,embeddinggemma,EP-4633582-A1_en_q_es,es,synthetic,0.998997995991984,,0.998997995991984,-0.04460696997003318,0.7256510380302927
