model,short,rbo,lo,hi,home_adv,clir_at_10
google/embeddinggemma-300m,embeddinggemma,0.1389821906614148,0.05814845870138877,0.23880402158615757,0.2543859649122807,0.45255474452554745
BAAI/bge-m3,bge-m3,0.16864464888082326,0.05268168932162815,0.3122443478644972,0.23684210526315788,0.3978102189781022
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,0.16675369654977665,0.058429755008068025,0.30340944934023967,0.23684210526315788,0.38564476885644766
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,0.17037460373157182,0.05581775431336902,0.3149836242936083,0.34210526315789475,0.354014598540146
ibm-granite/granite-embedding-278m-multilingual,granite-278m,0.17467577288609093,0.055881215730170235,0.31374691408227473,0.20175438596491227,0.28588807785888076
sentence-transformers/LaBSE,LaBSE,0.14571364589630093,0.04185643880544256,0.28292037063876707,0.22807017543859648,0.21897810218978103
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,0.12949607867049667,0.04443800288024174,0.23144391581625517,0.18421052631578946,0.16058394160583941
intfloat/multilingual-e5-large-instruct,e5-large-instruct,0.00043787995724823696,2.4644973347783027e-06,0.0010947911777810264,0.5175438596491229,0.06569343065693431
