model,short,clir_at_10,XRC50,XRC50_censored,finite_xrc,degenerate_clir,on_frontier,dominated_by
google/embeddinggemma-300m,embeddinggemma,0.5413,5.0,False,True,False,True,
BAAI/bge-m3,bge-m3,0.4644,3.5,False,True,False,True,
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,0.4507,4.5,False,True,False,False,bge-m3
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,0.4095,6.0,False,True,False,False,embeddinggemma;bge-m3;qwen3-0.6B
ibm-granite/granite-embedding-278m-multilingual,granite-278m,0.3899,3.2,False,True,False,True,
sentence-transformers/LaBSE,LaBSE,0.2708,1.88,False,True,False,True,
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,0.1972,2.921,False,True,False,False,LaBSE
intfloat/multilingual-e5-large-instruct,e5-large-instruct,0.0945,161.5,False,True,True,False,embeddinggemma;bge-m3;qwen3-0.6B;nomic-v2-moe;granite-278m;LaBSE;SapBERT
Alibaba-NLP/gte-multilingual-base,gte-base,0.0,,True,False,True,False,
