id,n_latin_types,maps_to_chebi,zh_fixable,fully_fixable,example_fixable_terms
WO-2025168371-A1_zh,4,0,0,False,
WO-2025154992-A1_zh,2,0,0,False,
MX-2025008957-A_zh,4,0,0,False,
WO-2023200363-A1_zh,13,4,3,False,Polyethylene glycol; phospholipid
WO-2025217208-A1_zh,6,0,0,False,
EP-4627344-A2_zh,1,0,0,False,
WO-2025213136-A1_zh,1,0,0,False,
MX-2025006561-A_zh,16,0,0,False,
WO-2025205911-A1_zh,6,0,0,False,
WO-2021251847-A1_zh,20,1,1,False,Magnesium
MX-2025006204-A_zh,28,1,1,False,ketone
WO-2025195176-A1_zh,8,0,0,False,
WO-2025173660-A1_zh,5,1,1,False,Vanadium
WO-2025216545-A1_zh,5,0,0,False,
WO-2025207482-A1_zh,3,1,1,False,curcumin
MX-2025009759-A_zh,3,1,1,False,agonist
WO-2025103937-A1_zh,1,0,0,False,
EP-4626606-A1_zh,15,1,0,False,
MX-2025010525-A_zh,6,0,0,False,
EP-4584547-A1_zh,1,0,0,False,
WO-2025080163-A1_zh,11,4,3,False,Aluminium; hafnium; yttrium
WO-2025184953-A8_zh,7,0,0,False,
WO-2023214897-A1_zh,13,6,4,False,Carbamide; ammonium; oxalic acid
WO-2025208217-A1_zh,12,0,0,False,
MX-2025009198-A_zh,6,1,0,False,
WO-2025183194-A1_zh,10,0,0,False,
WO-2025216797-A1_zh,9,2,1,False,agonist
WO-2025192625-A1_zh,13,1,0,False,
WO-2023149795-A1_zh,2,0,0,False,
MX-2025004823-A_zh,8,1,1,False,bendamustine
WO-2022015194-A1_zh,3,0,0,False,
WO-2025207825-A1_zh,1,0,0,False,
WO-2023096535-A1_zh,7,1,1,False,essence
WO-2025210677-A1_zh,14,5,4,False,Rubber; neodymium; silica; styrene
WO-2025210569-A1_zh,3,0,0,False,
WO-2025184743-A8_zh,3,0,0,False,
MX-2025009739-A_zh,13,0,0,False,
MX-2025004748-A_zh,14,0,0,False,
WO-2025204469-A1_zh,9,4,3,False,carbon dioxide; methane
EP-4631325-A1_zh,4,0,0,False,
EP-4634329-A1_zh,16,3,1,False,Polypropylene
MX-2025005555-A_zh,9,1,0,False,
MX-2025005963-A_zh,6,0,0,False,
WO-2025187161-A8_zh,4,0,0,False,
WO-2025212041-A1_zh,4,0,0,False,
EP-4626995-A1_zh,12,5,1,False,dicyanodiamide
WO-2025177948-A1_zh,1,0,0,False,
WO-2025211949-A1_zh,3,0,0,False,
WO-2025207077-A1_zh,4,0,0,False,
EP-4519355-A1_zh,3,0,0,False,
EP-4634598-A1_zh,1,0,0,False,
WO-2025216629-A1_zh,1,0,0,False,
WO-2025132390-A1_zh,5,0,0,False,
EP-4634382-A1_zh,3,0,0,False,
WO-2025016896-A3_zh,5,0,0,False,
WO-2025187773-A8_zh,5,0,0,False,
MX-2025005858-A_zh,8,0,0,False,
WO-2025189168-A8_zh,6,1,1,False,mRNA
EP-4496826-A1_zh,7,3,1,False,ether
WO-2025203816-A1_zh,3,0,0,False,
MX-2025006958-A_zh,3,0,0,False,
WO-2025204325-A1_zh,1,0,0,False,
EP-4634265-A1_zh,19,4,1,False,detergent
WO-2025215139-A1_zh,7,1,1,False,aldehyde
WO-2025031622-A1_zh,4,0,0,False,
WO-2025216427-A1_zh,3,1,0,False,
MX-2025008260-A_zh,8,0,0,False,
WO-2025169953-A1_zh,8,4,3,False,carbon dioxide; carbon monoxide
MX-2025006064-A_zh,1,0,0,False,
WO-2025206111-A1_zh,16,4,3,False,1-butene; Ethylene; Polystyrene; propylene
WO-2025205743-A1_zh,1,0,0,False,
EP-1627088-A1_zh,2,0,0,False,
WO-2025212375-A1_zh,2,0,0,False,
WO-2025103928-A3_zh,3,0,0,False,
WO-2025202347-A1_zh,2,0,0,False,
EP-4547808-A1_zh,1,0,0,False,
EP-4634390-A2_zh,11,0,0,False,
EP-4626848-A1_zh,4,1,1,False,fertilizer
WO-2025208228-A1_zh,5,1,1,False,urea
EP-4630245-A1_zh,2,0,0,False,
