model,query_language,depth,n,mean_cos,mrr,recall_at_10,recall_at_100
intfloat/multilingual-e5-large-instruct,de,0,26,0.8293174298909994,0.1811841614831664,0.2692307692307692,0.5
intfloat/multilingual-e5-large-instruct,de,1,26,0.8293282252091628,0.1797865200691491,0.23076923076923078,0.46153846153846156
intfloat/multilingual-e5-large-instruct,de,2,26,0.8282835070903485,0.1805858890646355,0.23076923076923078,0.4230769230769231
intfloat/multilingual-e5-large-instruct,de,3,26,0.8274814463578738,0.18036010818666567,0.2692307692307692,0.46153846153846156
intfloat/multilingual-e5-large-instruct,de,4,26,0.827891299357781,0.18253342060654607,0.2692307692307692,0.4230769230769231
intfloat/multilingual-e5-large-instruct,de,5,26,0.8276711450173304,0.18092545881281927,0.2692307692307692,0.38461538461538464
intfloat/multilingual-e5-large-instruct,en,0,27,0.8521055490882309,0.7076964427462407,0.7037037037037037,0.8888888888888888
intfloat/multilingual-e5-large-instruct,en,1,27,0.8518662982516818,0.6829529197727884,0.7037037037037037,0.8888888888888888
intfloat/multilingual-e5-large-instruct,en,2,27,0.8505826305460047,0.6565572982194323,0.7037037037037037,0.8518518518518519
intfloat/multilingual-e5-large-instruct,en,3,27,0.8486302075562654,0.6567384011953633,0.7037037037037037,0.8518518518518519
intfloat/multilingual-e5-large-instruct,en,4,27,0.8480278761298569,0.6551844724918046,0.6666666666666666,0.8518518518518519
intfloat/multilingual-e5-large-instruct,en,5,27,0.8475796205026133,0.5906059473005105,0.7037037037037037,0.8518518518518519
intfloat/multilingual-e5-large-instruct,es,0,27,0.8286761222062288,0.11453894622139786,0.25925925925925924,0.5555555555555556
intfloat/multilingual-e5-large-instruct,es,1,27,0.828726159201728,0.11532600568765183,0.25925925925925924,0.5555555555555556
intfloat/multilingual-e5-large-instruct,es,2,27,0.8282356527116563,0.12829384478823228,0.25925925925925924,0.5185185185185185
intfloat/multilingual-e5-large-instruct,es,3,27,0.8282914735652782,0.1351439302361021,0.25925925925925924,0.5185185185185185
intfloat/multilingual-e5-large-instruct,es,4,27,0.8284679562957199,0.1553266860064602,0.25925925925925924,0.48148148148148145
intfloat/multilingual-e5-large-instruct,es,5,27,0.8288728661007352,0.1420557984993678,0.25925925925925924,0.48148148148148145
intfloat/multilingual-e5-large-instruct,fr,0,27,0.8248696680422183,0.18857301524418782,0.2222222222222222,0.3333333333333333
intfloat/multilingual-e5-large-instruct,fr,1,27,0.8248374925719367,0.1822965841060221,0.2222222222222222,0.2962962962962963
intfloat/multilingual-e5-large-instruct,fr,2,27,0.824881911277771,0.1578199297327997,0.2222222222222222,0.2962962962962963
intfloat/multilingual-e5-large-instruct,fr,3,27,0.8245905107922025,0.16384184468306248,0.2222222222222222,0.2962962962962963
intfloat/multilingual-e5-large-instruct,fr,4,27,0.8255417324878551,0.1892143978580863,0.2222222222222222,0.2962962962962963
intfloat/multilingual-e5-large-instruct,fr,5,27,0.8257475274580496,0.20793438841150255,0.2222222222222222,0.2962962962962963
intfloat/multilingual-e5-large-instruct,zh,0,27,0.8294243106135616,0.14372003439170175,0.2222222222222222,0.6296296296296297
intfloat/multilingual-e5-large-instruct,zh,1,27,0.8325659897592332,0.21571011416663446,0.25925925925925924,0.6666666666666666
intfloat/multilingual-e5-large-instruct,zh,2,27,0.833673357963562,0.20207511040745857,0.2962962962962963,0.6666666666666666
intfloat/multilingual-e5-large-instruct,zh,3,27,0.8362551353595875,0.23289345194107328,0.2962962962962963,0.6666666666666666
intfloat/multilingual-e5-large-instruct,zh,4,27,0.836640614050406,0.2286426935157482,0.2962962962962963,0.6666666666666666
intfloat/multilingual-e5-large-instruct,zh,5,27,0.836305351169021,0.22669342902884423,0.2962962962962963,0.6666666666666666
