model,short,rate,lo,hi,mean_sl_blocker_share
google/embeddinggemma-300m,embeddinggemma,0.45985401459854014,0.3795620437956204,0.5401459854014599,0.4112486925972337
BAAI/bge-m3,bge-m3,0.5109489051094891,0.4306569343065693,0.5912408759124088,0.3508096956712633
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,0.5182481751824818,0.4306569343065693,0.5985401459854015,0.3693095614281763
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,0.5401459854014599,0.45985401459854014,0.6204379562043796,0.4366140531940152
ibm-granite/granite-embedding-278m-multilingual,granite-278m,0.583941605839416,0.5036496350364964,0.6642335766423357,0.2465795536541345
sentence-transformers/LaBSE,LaBSE,0.635036496350365,0.5547445255474452,0.7153284671532847,0.2545725765884121
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,0.7445255474452555,0.6715328467153284,0.8175182481751825,0.3360004617001229
intfloat/multilingual-e5-large-instruct,e5-large-instruct,0.8394160583941606,0.7808394160583944,0.8978102189781022,0.9588431849580096
Alibaba-NLP/gte-multilingual-base,gte-base,0.9708029197080292,0.9416058394160584,0.9927007299270073,0.6254490637892733
